Exam_code,Content,Option_A,Option_B,Option_C,Option_D,Correct_Option
1010,Thuật ngữ nào dùng để mô tả cách các nút được tổ chức trong cây?,Độ sâu,Chiều cao,Mức,Gốc,A
1010,Trong cây AVL yếu tố cân bằng là gì?,Chênh lệch số nút giữa cây con trái và phải,Chênh lệch chiều cao giữa cây con trái và phải,Tổng số nút trong cây con,Tổng số cạnh trong cây con,B
1010,Trong danh sách liên kết việc chèn một nút mới vào giữa danh sách cần gì?,Thay đổi nút đầu,Thay đổi các liên kết của các nút xung quanh,Tạo một danh sách mới,Không thể thực hiện được,C
1010,Thuật toán nào đảm bảo kết quả tối ưu cho bài toán cây khung nhỏ nhất?,Kruskal,Prim,Dijkstra,Cả hai Kruskal và Prim,D
1010,Đâu là cách tốt nhất để triển khai hàng đợi ưu tiên?,Sử dụng mảng,Sử dụng heap,Sử dụng danh sách liên kết,Sử dụng bảng băm,B
1010,Trong danh sách liên kết đơn điều nào đúng?,Mỗi nút chỉ liên kết với nút trước,Mỗi nút chỉ liên kết với nút sau,Mỗi nút có liên kết hai chiều,Không có liên kết nào đúng,A
1010,Trong cây nhị phân hoàn chỉnh đặc điểm nào là đúng?,Tất cả các cấp đều được lấp đầy hoàn toàn ngoại trừ cấp cuối cùng,Tất cả các cấp đều phải được lấp đầy hoàn toàn,Chỉ có một nút cha duy nhất,Tất cả các nút đều là nút lá,C
1010,Độ phức tạp thời gian tốt nhất của thuật toán tìm kiếm tuần tự là gì?,O(n),O(1),O(log n),O(n log n),B
1010,Đặc điểm của thuật toán Kruskal là gì?,Tìm đường đi ngắn nhất trong đồ thị,Tìm cây khung nhỏ nhất bằng cách chọn cạnh nhỏ nhất,Tìm nút có trọng số lớn nhất,Không có đáp án đúng,D
1010,Thuật toán sắp xếp nào có thể hoạt động tốt trên dữ liệu gần như đã được sắp xếp?,Quick sort,Bubble sort,Insertion sort,Merge sort,D
1010,Trong danh sách liên kết vòng điều nào đúng?,Không có nút đầu,Nút cuối liên kết lại với nút đầu,Mỗi nút đều liên kết với nút đầu,Không có liên kết nào đúng,C
